ID,Servicing,FcstPeriod,StationName,newNormal,new75PctNormal
SYCO3,PQR,APR-SEP,JOHNSON CREEK - AT SYCAMORE,6.43,4.8225
TANW1,SEW,APR-SEP,MF SNOQUALMIE - NEAR TANNER,384,288
TCHW1,PDT,APR-SEP,WALLA WALLA - NEAR TOUCHET,173,129.75
TDAO3,PDT,APR-SEP,COLUMBIA - THE DALLES DAM,97491,73118.25
TEAI1,PIH,APR-SEP,TETON - NEAR ST. ANTHONY,473,354.75
THNW1,SEW,APR-SEP,THUNDER CREEK - NEAR NEWHALEM,335,251.25
THRM8,MSO,APR-SEP,THOMPSON - NEAR THOMPSON FALLS,215,161.25
TIDO3,PQR,APR-SEP,ALSEA - NEAR TIDEWATER,200,150
TILO3,MFR,APR-SEP,S UMPQUA - AT TILLER,208,156
TILW1,SEW,APR-SEP,TILTON - NEAR CINEBAR,158,118.5
TLMO3,PQR,APR-SEP,WILSON - NEAR TILLAMOOK,160,120
TLRW1,SEW,APR-SEP,SF TOLT - TOLT RESERVOIR,46.15,34.6125
TLYO3,PQR,APR-SEP,CLACKAMAS - THREE LYNX,540,405
TNAW1,PDT,APR-SEP,TEANAWAY - BELOW FORKS,136,102
TOLW1,SEW,APR-SEP,TOLT - NEAR CARNATION,168,126
TONW1,OTX,APR-SEP,OKANOGAN - NEAR TONASKET,1761,1320.75
TOPI1,PIH,APR-SEP,PORTNEUF - AT TOPAZ,77.7,58.275
TOTW1,PQR,APR-SEP,TOUTLE - AT TOWER BRIDGE,519,389.25
TRAO3,PQR,APR-SEP,TRASK - TILLAMOOK,150,112.5
TRBO3,PQR,APR-SEP,MCKENZIE - BELOW TRAIL BRIDGE DAM,337,252.75
TRSO3,PQR,APR-SEP,THOMAS CREEK - NEAR SCIO,80.19,60.1425
TRYM8,MSO,APR-SEP,YAAK - NEAR TROY,438,328.5
TRYO3,PDT,APR-SEP,GRANDE RONDE - TROY,1331,998.25
UBDW1,SEW,APR-SEP,BAKER - UPPER BAKER LAKE,821,615.75
UMAO3,PDT,APR-SEP,UMATILLA - NEAR UMATILLA,236,177
